SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-426680091,1/18/2017 7:46:15 AM,1/25/2017 1:55:24 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,WLA,1/25/2017 12:00:00 AM,,Y,N,"10545 W WYTON DR, 90024",10545,W,WYTON,DR,90024,34.0734819719,-118.436318227,"(34.0734819719, -118.436318227)",632,B,1,West Los Angeles APC,5,Paul Koretz,63,WESTWOOD NC,WEST LOS ANGELES
1-454429647,2/13/2017 3:51:29 PM,2/14/2017 2:08:38 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,Y,EV,2/14/2017 12:00:00 AM,,Y,"","SATICOY ST AT VINELAND AVE, 91352",,"","","",91352,34.2084290551,-118.370365753,"(34.2084290551, -118.370365753)",533,A,3,North Valley APC,2,Paul Krekorian,8,SUN VALLEY AREA NC,NORTH HOLLYWOOD
1-448379161,2/7/2017 1:45:55 PM,2/9/2017 8:59:33 AM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,SLA,2/9/2017 12:00:00 AM,,Y,N,"4235 W SLAUSON AVE, 90043",4235,W,SLAUSON,AVE,90043,33.9889847346,-118.34885619,"(33.9889847346, -118.34885619)",673,D,6,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,77TH STREET
1-418415691,1/9/2017 2:25:43 PM,1/11/2017 2:28:15 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,1/11/2017 12:00:00 AM,,Y,N,"868 E 42ND ST, 90011",868,E,42ND,ST,90011,34.0074201584,-118.260420213,"(34.0074201584, -118.260420213)",674,E,3,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-412060300,1/3/2017 9:57:24 AM,1/3/2017 9:57:24 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAP,12/31/2016 12:00:00 AM,,Y,"","1859 W 64TH ST, 90047",1859,W,64TH,ST,90047,,,"",673,H,6,South Los Angeles APC,8,Marqueece Harris-Dawson,81,EMPOWERMENT CONGRESS CENTRAL AREA NDC,77TH STREET
1-455813811,2/14/2017 5:03:37 PM,2/14/2017 5:03:37 PM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",Y,WVA,,,Y,N,"6301 N VAN NUYS BLVD, 91401",6301,N,VAN NUYS,BLVD,91401,34.1848067544,-118.449005184,"(34.1848067544, -118.449005184)",532,A,7,South Valley APC,6,Nury Martinez,20,VAN NUYS NC,VAN NUYS
1-433955671,1/25/2017 10:10:06 AM,1/27/2017 3:58:57 PM,SR Created,BOS,Electronic Waste,Closed,Call,"",N,SLA,1/27/2017 12:00:00 AM,,Y,N,"600 W 118TH ST, 90044",600,W,118TH,ST,90044,33.9260368697,-118.284899857,"(33.9260368697, -118.284899857)",704,B,7,South Los Angeles APC,15,Joe Buscaino,90,HARBOR GATEWAY NORTH NC,SOUTHEAST
1-438866691,1/30/2017 9:39:46 AM,2/13/2017 9:11:26 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",N,EV,2/13/2017 12:00:00 AM,,Y,N,"14478 W ORO GRANDE ST, 91342",14478,W,ORO GRANDE,ST,91342,34.3042978456,-118.448191769,"(34.3042978456, -118.448191769)",482,A,4,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION
1-439950771,1/30/2017 4:39:32 PM,1/30/2017 4:39:32 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,CCAC,1/27/2017 12:00:00 AM,,Y,"","1434 W TEMPLE ST, 90026",1434,W,TEMPLE,ST,90026,,,"",634,E,2,Central APC,1,Gilbert Cedillo,44,GREATER ECHO PARK ELYSIAN NC,RAMPART
1-425333705,1/17/2017 8:20:07 AM,2/10/2017 8:02:17 AM,SR Created,BOS,Homeless Encampment,Pending,Mobile App,iOS,Y,WLA,1/19/2017 12:00:00 AM,,Y,"","11101 W OHIO AVE, 90025",11101,W,OHIO,AVE,90025,34.0503413518,-118.447066954,"(34.0503413518, -118.447066954)",632,A,4,West Los Angeles APC,5,Paul Koretz,63,WESTWOOD NC,WEST LOS ANGELES
1-445291362,2/3/2017 1:50:02 PM,2/8/2017 9:51:05 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAPBH,2/1/2017 12:00:00 AM,,Y,"","1100 S MAIN ST, 90015",,S,MAIN,ST,90015,,,"",634,E,5,Central APC,14,Jose Huizar,52,DOWNTOWN LOS ANGELES,CENTRAL
1-414997039,1/5/2017 12:34:55 PM,1/5/2017 12:34:55 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/6/2016 12:00:00 AM,,Y,"","2709 S SAN PEDRO ST, 90011",2709,S,SAN PEDRO,ST,90011,,,"",674,E,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-420784661,1/11/2017 12:44:26 PM,1/12/2017 12:35:27 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",N,NC,1/12/2017 12:00:00 AM,,Y,N,"615 N JUANITA AVE, 90004",615,N,JUANITA,AVE,90004,34.0823655709,-118.290691734,"(34.0823655709, -118.290691734)",594,A,7,Central APC,13,Mitch O'Farrell,34,EAST HOLLYWOOD NC,RAMPART
1-452184908,2/10/2017 2:00:35 PM,2/10/2017 2:00:35 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/26/2017 12:00:00 AM,,Y,"","3101 S MAIN ST, 90007",3101,S,MAIN,ST,90007,,,"",674,C,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-440805781,1/31/2017 11:46:45 AM,2/1/2017 10:41:18 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,NC,2/1/2017 12:00:00 AM,,Y,N,"355 S RAMPART BLVD, 90057",355,S,RAMPART,BLVD,90057,34.0650700265,-118.27994406,"(34.0650700265, -118.27994406)",634,B,2,Central APC,1,Gilbert Cedillo,53,RAMPART VILLAGE NC,RAMPART
1-449284750,2/8/2017 10:45:25 AM,2/8/2017 10:45:25 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/21/2017 12:00:00 AM,,Y,"","3900 S HILL ST, 90037",3900,S,HILL,ST,90037,,,"",674,C,2,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-417450235,1/8/2017 6:21:36 PM,1/12/2017 6:59:03 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,WV,1/12/2017 12:00:00 AM,,Y,"","6512 N BALBOA BLVD, 91406",6512,N,BALBOA,BLVD,91406,34.1890862677,-118.500931403,"(34.1890862677, -118.500931403)",531,D,6,South Valley APC,6,Nury Martinez,19,LAKE BALBOA NC,WEST VALLEY
1-417294461,1/8/2017 11:58:34 AM,1/10/2017 4:10:13 PM,SR Created,OCB,Graffiti Removal,Closed,Call,"",N,NEGB_ELA,1/10/2017 4:10:12 PM,,Y,N,"FIGUEROA ST AT SPRINGVALE DR, 90042",,"","","",90042,34.123530574,-118.185338946,"(34.123530574, -118.185338946)",595,D,1,East Los Angeles APC,14,Jose Huizar,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-433871900,1/25/2017 9:34:12 AM,1/25/2017 9:34:12 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/29/2016 12:00:00 AM,,Y,"","7318 S AVALON BLVD, 90003",7318,S,AVALON,BLVD,90003,,,"",704,D,1,South Los Angeles APC,9,Curren D. Price Jr.,86,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),77TH STREET
1-416874908,1/7/2017 11:29:58 AM,1/10/2017 11:43:20 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,WVA,1/9/2017 10:30:26 AM,,Y,N,"15712 W VENTURA BLVD, 91436",15712,W,VENTURA,BLVD,91436,34.155126798,-118.475377899,"(34.155126798, -118.475377899)",561,G,4,South Valley APC,5,Paul Koretz,18,ENCINO NC,WEST VALLEY
1-420598305,1/11/2017 11:20:24 AM,1/11/2017 11:20:24 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAPBH,1/6/2017 12:00:00 AM,,Y,"","2009 E 1ST ST, 90033",2009,E,1ST,ST,90033,,,"",635,A,4,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-414945991,1/5/2017 12:11:12 PM,1/5/2017 12:12:47 PM,SR Created,BOS,Bulky Items,Closed,Driver Self Report,"",Y,WV,1/9/2017 12:00:00 AM,,Y,N,"18141 W SAN FERNANDO MISSION BLVD, 91326",18141,W,SAN FERNANDO MISSION,BLVD,91326,34.2723214568,-118.528913747,"(34.2723214568, -118.528913747)",500,J,2,North Valley APC,12,Mitchell Englander,120,NORTHRIDGE EAST,DEVONSHIRE
1-455927781,2/14/2017 11:00:42 PM,2/14/2017 11:00:44 PM,SR Created,BOS,Bulky Items,Open,Mobile App,Android,Y,WV,2/15/2017 12:00:00 AM,,Y,"","17643 W SHERMAN WAY, 91406",17643,W,SHERMAN,WAY,91406,34.201344451,-118.517845614,"(34.201344451, -118.517845614)",531,B,5,South Valley APC,6,Nury Martinez,19,LAKE BALBOA NC,WEST VALLEY
1-442307571,2/1/2017 11:15:45 AM,2/3/2017 11:10:42 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,NC,2/3/2017 12:00:00 AM,,Y,N,"1363 S KENISTON AVE, 90019",1363,S,KENISTON,AVE,90019,34.0495255406,-118.339424594,"(34.0495255406, -118.339424594)",633,E,4,Central APC,10,Herb J. Wesson Jr.,104,OLYMPIC PARK NC,WILSHIRE
1-447960219,2/7/2017 10:16:17 AM,2/7/2017 10:16:17 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/10/2017 12:00:00 AM,,Y,"","8600 E MANCHESTER AV, 90001",8600,E,MANCHESTER,AV,90001,,,"",704,E,2,South Los Angeles APC,9,Curren D. Price Jr.,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,77TH STREET
1-419425131,1/10/2017 12:12:42 PM,1/11/2017 7:56:03 AM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,SLA,1/11/2017 12:00:00 AM,,Y,N,"132 E ADAMS BLVD, 90011",132,E,ADAMS,BLVD,90011,34.0242174028,-118.267725341,"(34.0242174028, -118.267725341)",674,D,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-423092371,1/13/2017 1:34:09 PM,1/18/2017 12:38:51 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",Y,WV,1/18/2017 12:00:00 AM,,Y,N,"10019 N BABBITT AVE, 91325",10019,N,BABBITT,AVE,91325,34.252866536,-118.510174659,"(34.252866536, -118.510174659)",501,C,4,North Valley APC,12,Mitchell Englander,120,NORTHRIDGE EAST,DEVONSHIRE
1-441758061,2/1/2017 12:07:48 AM,2/3/2017 8:17:17 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,WLA,2/3/2017 12:00:00 AM,,Y,"","1806 S ALSACE AVE, 90019",1806,S,ALSACE,AVE,90019,34.0432229639,-118.350819405,"(34.0432229639, -118.350819405)",633,C,5,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE
1-422014651,1/12/2017 1:33:01 PM,1/16/2017 12:24:37 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,NC,1/16/2017 12:00:00 AM,,Y,N,"2100 E CHARLOTTE ST, 90033",2100,E,CHARLOTTE,ST,90033,34.0575674076,-118.204932155,"(34.0575674076, -118.204932155)",635,B,3,East Los Angeles APC,14,Jose Huizar,47,LINCOLN HEIGHTS NC,HOLLENBECK
1-447884700,2/7/2017 9:45:10 AM,2/7/2017 9:45:11 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/17/2017 12:00:00 AM,,Y,"","3108 S MAIN ST, 90007",3108,S,MAIN,ST,90007,,,"",674,D,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-419720091,1/10/2017 2:33:04 PM,1/11/2017 9:51:34 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,1/11/2017 12:00:00 AM,,Y,N,"1554 E 41ST ST, 90011",1554,E,41ST,ST,90011,34.0083127556,-118.246260127,"(34.0083127556, -118.246260127)",674,F,3,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON
1-450133779,2/8/2017 8:55:15 PM,2/9/2017 11:12:04 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,SLA,2/9/2017 12:00:00 AM,,Y,"","8951 S GRAMERCY PL, 90047",8951,S,GRAMERCY,PL,90047,33.954740248,-118.313553742,"(33.954740248, -118.313553742)",703,H,3,South Los Angeles APC,8,Marqueece Harris-Dawson,84,EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,77TH STREET
1-449714928,2/8/2017 2:24:06 PM,2/8/2017 2:24:06 PM,SR Created,BOS,Bulky Items,Open,Mobile App,Android,N,EV,2/15/2017 12:00:00 AM,,Y,"","3696 N DIXIE CANYON AVE, 91423",3696,N,DIXIE CANYON,AVE,91423,34.1369628345,-118.42306419,"(34.1369628345, -118.42306419)",562,D,6,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS
1-429250561,1/19/2017 8:49:07 PM,1/26/2017 12:21:05 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,NC,1/26/2017 12:00:00 AM,,Y,N,"1531 N MALTMAN AVE, 90026",1531,N,MALTMAN,AVE,90026,34.0904908119,-118.276605417,"(34.0904908119, -118.276605417)",594,C,5,East Los Angeles APC,13,Mitch O'Farrell,38,SILVER LAKE NC,NORTHEAST
1-415290072,1/5/2017 2:58:12 PM,1/5/2017 2:58:12 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/7/2016 12:00:00 AM,,Y,"","4274 S BROADWAY, 90037",4274,S,BROADWAY,"",90037,,,"",674,C,3,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-411698990,1/2/2017 8:02:38 PM,1/19/2017 1:57:45 PM,SR Created,OCB,Graffiti Removal,Cancelled,Mobile App,iOS,N,CCAC,1/19/2017 1:56:33 PM,,Y,N,"2156 W SANTA YNEZ ST, 90026",2156,W,SANTA YNEZ,ST,90026,34.0757566951,-118.266769092,"(34.0757566951, -118.266769092)",594,D,7,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART
1-419666971,1/10/2017 2:07:45 PM,1/11/2017 1:44:52 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,NC,1/11/2017 12:00:00 AM,,Y,N,"2053 N WOLLAM ST, 90065",2053,N,WOLLAM,ST,90065,34.1059234319,-118.228176974,"(34.1059234319, -118.228176974)",594,H,3,East Los Angeles APC,1,Gilbert Cedillo,39,GLASSELL PARK NC,NORTHEAST
1-444744521,2/3/2017 8:09:23 AM,2/7/2017 8:15:57 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,2/7/2017 12:00:00 AM,,Y,N,"5409 N RADFORD AVE, 91607",5409,N,RADFORD,AVE,91607,34.168906708,-118.392305976,"(34.168906708, -118.392305976)",562,G,2,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD
1-438363631,1/29/2017 7:32:56 PM,2/2/2017 5:57:42 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,NC,2/2/2017 12:00:00 AM,,Y,N,"4659 W LA MIRADA AVE, 90029",4659,W,LA MIRADA,AVE,90029,34.0946054621,-118.290705463,"(34.0946054621, -118.290705463)",594,A,5,Central APC,13,Mitch O'Farrell,34,EAST HOLLYWOOD NC,NORTHEAST
1-434757761,1/25/2017 4:58:42 PM,1/26/2017 4:08:27 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,SLA,1/26/2017 12:00:00 AM,,Y,N,"10041 S LA SALLE AVE, 90047",10041,S,LA SALLE,AVE,90047,33.9441883528,-118.305903801,"(33.9441883528, -118.305903801)",703,J,5,South Los Angeles APC,8,Marqueece Harris-Dawson,84,EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,77TH STREET
1-414604021,1/5/2017 9:12:56 AM,1/5/2017 9:12:56 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,LACC,12/31/2016 12:00:00 AM,,Y,"","4300 W 28TH ST, 90018",4300,W,28TH,ST,90018,,,"",633,E,7,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",SOUTHWEST
1-428134291,1/19/2017 9:26:46 AM,1/26/2017 3:51:36 PM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,NC,1/26/2017 12:00:00 AM,,Y,N,"1319 W INGRAHAM ST, 90017",1319,W,INGRAHAM,ST,90017,34.0534509113,-118.267769608,"(34.0534509113, -118.267769608)",634,D,3,Central APC,1,Gilbert Cedillo,121,WESTLAKE SOUTH NC,RAMPART
1-413837321,1/4/2017 12:55:22 PM,1/6/2017 2:12:17 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,1/6/2017 12:00:00 AM,,Y,N,"13861 W SHERMAN WAY, 91405",13861,W,SHERMAN,WAY,91405,34.2013538,-118.435364933,"(34.2013538, -118.435364933)",532,B,4,South Valley APC,2,Paul Krekorian,20,VAN NUYS NC,VAN NUYS
1-416598421,1/7/2017 2:39:06 AM,1/12/2017 10:31:18 AM,SR Created,BOS,Homeless Encampment,Closed,Self Service,"",N,EV,1/12/2017 12:00:00 AM,,Y,N,"14650 W LASSEN ST, 91345",14650,W,LASSEN,ST,91345,34.2501049681,-118.450968208,"(34.2501049681, -118.450968208)",501,J,5,North Valley APC,6,Nury Martinez,101,MISSION HILLS NC,MISSION
1-418567801,1/9/2017 3:29:10 PM,1/9/2017 3:55:14 PM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,EV,1/12/2017 12:00:00 AM,,Y,N,"15305 W LANARK ST, 91406",15305,W,LANARK,ST,91406,34.2178406997,-118.467420043,"(34.2178406997, -118.467420043)",531,H,2,South Valley APC,6,Nury Martinez,112,NORTH HILLS EAST,MISSION
1-415700459,1/6/2017 9:11:42 AM,1/6/2017 9:11:43 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAP,1/3/2017 12:00:00 AM,,Y,"","9555 COMPTON AV, 90002",9555,"",COMPTON,AV,90002,,,"",704,G,4,South Los Angeles APC,15,Joe Buscaino,88,WATTS NC,SOUTHEAST
1-443231914,2/1/2017 8:44:54 PM,2/2/2017 4:14:17 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,LACC,2/2/2017 4:14:04 PM,,Y,N,"3435 W STOCKER ST, 90008",3435,W,STOCKER,ST,90008,34.0085841391,-118.332724898,"(34.0085841391, -118.332724898)",673,E,3,South Los Angeles APC,10,Herb J. Wesson Jr.,79,EMPOWERMENT CONGRESS WEST AREA NDC,SOUTHWEST
1-440936611,1/31/2017 12:40:56 PM,2/2/2017 8:18:15 AM,SR Created,OCB,Graffiti Removal,Closed,Call,"",N,SLABT,2/1/2017 8:18:20 AM,,Y,N,"4063 S ADAIR ST, 90011",4063,S,ADAIR,ST,90011,34.0093159892,-118.269426472,"(34.0093159892, -118.269426472)",674,D,3,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-454322101,2/13/2017 3:08:45 PM,2/14/2017 2:22:56 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,2/14/2017 12:00:00 AM,,Y,N,"11586 W CUMPSTON ST, 91601",11586,W,CUMPSTON,ST,91601,34.1705766602,-118.384699113,"(34.1705766602, -118.384699113)",562,H,2,South Valley APC,2,Paul Krekorian,24,MID-TOWN NORTH HOLLYWOOD NC,NORTH HOLLYWOOD
1-417403913,1/8/2017 3:57:51 PM,1/17/2017 9:10:26 AM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,Y,NC,1/16/2017 12:00:00 AM,,Y,"","1160 N COLE AVE, 90038",1160,N,COLE,AVE,90038,34.09241879,-118.329748266,"(34.09241879, -118.329748266)",593,F,5,Central APC,13,Mitch O'Farrell,32,CENTRAL HOLLYWOOD NC,HOLLYWOOD
1-432547053,1/24/2017 9:27:00 AM,2/8/2017 6:03:40 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,CCAC,1/31/2017 2:16:34 PM,,Y,N,"1350 W 4TH ST, 90017",1350,W,4TH,ST,90017,34.0572109113,-118.262077697,"(34.0572109113, -118.262077697)",634,D,3,Central APC,1,Gilbert Cedillo,97,WESTLAKE NORTH NC,RAMPART
1-442299691,2/1/2017 11:14:07 AM,2/3/2017 1:13:49 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,NC,2/3/2017 12:00:00 AM,,Y,N,"613 1/2 N IRVING BLVD, 90004",613,N,IRVING,BLVD,90004,34.0821129501,-118.318989035,"(34.0821129501, -118.318989035)",593,G,7,Central APC,4,David Ryu,119,GREATER WILSHIRE NC,OLYMPIC
1-445603431,2/3/2017 5:08:07 PM,2/10/2017 4:10:36 PM,SR Created,BOS,Electronic Waste,Closed,Call,"",N,WLA,2/10/2017 12:00:00 AM,,Y,N,"3553 S BARRINGTON AVE, 90066",3553,S,BARRINGTON,AVE,90066,34.0116606469,-118.430359319,"(34.0116606469, -118.430359319)",672,C,3,West Los Angeles APC,11,Mike Bonin,67,MAR VISTA CC,PACIFIC
1-431487851,1/23/2017 10:58:33 AM,1/23/2017 10:58:34 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAPBH,1/13/2017 12:00:00 AM,,Y,"","1159 S LORENA ST, 90023",1159,S,LORENA,ST,90023,,,"",675,B,1,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-446871821,2/6/2017 11:35:42 AM,2/7/2017 8:08:06 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",N,WV,2/7/2017 12:00:00 AM,,Y,N,"20533 W VANOWEN ST, 91306",20533,W,VANOWEN,ST,91306,34.1939191646,-118.580846184,"(34.1939191646, -118.580846184)",530,D,6,South Valley APC,3,Bob Blumenfield,14,WINNETKA NC,TOPANGA
1-449986881,2/8/2017 4:30:02 PM,2/10/2017 3:15:08 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,HB,2/10/2017 12:00:00 AM,,Y,N,"566 W 10TH ST, 90731",566,W,10TH,ST,90731,33.7352332117,-118.289465171,"(33.7352332117, -118.289465171)",824,B,5,Harbor APC,15,Joe Buscaino,95,CENTRAL SAN PEDRO NC,HARBOR
1-446605501,2/6/2017 9:36:21 AM,2/13/2017 6:40:34 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,WV,2/13/2017 12:00:00 AM,,Y,N,"11939 N ESTRADA LANE, 91326",11939,N,ESTRADA,LANE,91326,34.2885437493,-118.547843316,"(34.2885437493, -118.547843316)",480,G,7,North Valley APC,12,Mitchell Englander,114,PORTER RANCH NC,DEVONSHIRE
1-450821816,2/9/2017 12:48:20 PM,2/9/2017 12:48:20 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,KYCC,12/12/2016 12:00:00 AM,,Y,"","2713 W PICO BLVD, 90006",2713,W,PICO,BLVD,90006,,,"",633,J,4,Central APC,1,Gilbert Cedillo,76,PICO UNION NC,OLYMPIC
1-420897781,1/11/2017 1:38:21 PM,1/16/2017 6:53:28 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,WLA,1/16/2017 12:00:00 AM,,Y,N,"11901 W ATLANTIC AVE, 90066",11901,W,ATLANTIC,AVE,90066,33.9988450767,-118.420451753,"(33.9988450767, -118.420451753)",672,D,4,West Los Angeles APC,11,Mike Bonin,67,MAR VISTA CC,PACIFIC
1-417386080,1/8/2017 3:19:07 PM,1/11/2017 12:43:42 AM,SR Created,BOS,Other,Cancelled,Mobile App,iOS,Y,"",,,Y,N,"4975 N KESTER AVE, 91403",4975,N,KESTER,AVE,91403,34.1610722449,-118.457667356,"(34.1610722449, -118.457667356)",561,J,3,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS
1-432063741,1/23/2017 3:41:06 PM,1/27/2017 3:42:07 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,NC,1/27/2017 12:00:00 AM,,Y,N,"6102 W DORCAS PL, 90068",6102,W,DORCAS,PL,90068,34.1270730044,-118.320345466,"(34.1270730044, -118.320345466)",563,G,7,Central APC,4,David Ryu,30,HOLLYWOOD UNITED NC,HOLLYWOOD
1-444272351,2/2/2017 3:15:42 PM,2/2/2017 3:15:42 PM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",Y,GAP,,,Y,N,"1745 N GRAMERCY PL, 90028",1745,N,GRAMERCY,PL,90028,34.1029448301,-118.312418196,"(34.1029448301, -118.312418196)",593,H,4,Central APC,13,Mitch O'Farrell,30,HOLLYWOOD UNITED NC,HOLLYWOOD
1-431988531,1/23/2017 2:54:55 PM,1/27/2017 10:21:27 AM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,SLA,1/27/2017 12:00:00 AM,,Y,N,"834 W 104TH PL, 90044",834,W,104TH,PL,90044,33.94138208,-118.29077288,"(33.94138208, -118.29077288)",704,A,5,South Los Angeles APC,8,Marqueece Harris-Dawson,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,SOUTHEAST
1-422278451,1/12/2017 4:04:06 PM,1/13/2017 1:49:51 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,1/13/2017 12:00:00 AM,,Y,N,"12836 W KELOWNA ST, 91331",12836,W,KELOWNA,ST,91331,34.2559278618,-118.412346103,"(34.2559278618, -118.412346103)",502,E,4,North Valley APC,7,Vacant,7,PACOIMA NC,FOOTHILL
1-445723951,2/3/2017 11:39:39 PM,2/9/2017 1:53:55 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,WLA,2/9/2017 12:00:00 AM,,Y,N,"8613 W CRESCENT DR, 90046",8613,W,CRESCENT,DR,90046,34.1103706235,-118.382856575,"(34.1103706235, -118.382856575)",592,H,3,Central APC,4,David Ryu,64,BEL AIR-BEVERLY CREST NC,HOLLYWOOD
1-440002391,1/30/2017 5:11:25 PM,1/31/2017 3:23:28 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",Y,EV,1/31/2017 12:00:00 AM,,Y,N,"6127 N FULCHER AVE, 91606",6127,N,FULCHER,AVE,91606,34.1819583215,-118.373330327,"(34.1819583215, -118.373330327)",532,J,7,South Valley APC,2,Paul Krekorian,24,MID-TOWN NORTH HOLLYWOOD NC,NORTH HOLLYWOOD
